treść pytania (PL);A (PL);B (PL);C (PL);D (PL);poprawna;question (EN);A (EN);B (EN);C (EN);D (EN)
Kto jest autorem dzieła 'Państwo'?;Arystoteles;Platon;Sokrates;;B;Who is the author of 'The Republic'?;Aristotle;Plato;Socrates;;
Jak nazywa się zasada Kartezjusza 'Cogito, ergo sum'?;Myślę, więc istnieję;Żyję, więc czuję;Wątpię, więc poznaję;;A;What is Descartes' principle 'Cogito, ergo sum'?;I think, therefore I am;I live, therefore I feel;I doubt, therefore I know;;
Który filozof był nauczycielem Aleksandra Wielkiego?;Platon;Arystoteles;Sokrates;;B;Which philosopher was the tutor of Alexander the Great?;Plato;Aristotle;Socrates;;
Jak nazywa się kierunek filozoficzny głoszący, że jedynie doświadczenie jest źródłem poznania?;Empiryzm;Racjonalizm;Idealizm;Materializm;A;Which philosophical school claims that experience is the only source of knowledge?;Empiricism;Rationalism;Idealism;Materialism;
Kto napisał 'Krytykę czystego rozumu'?;Immanuel Kant;Friedrich Nietzsche;Georg Hegel;;A;Who wrote 'Critique of Pure Reason'?;Immanuel Kant;Friedrich Nietzsche;Georg Hegel;;
Który z filozofów uważał, że 'Bóg umarł'?;Friedrich Nietzsche;Arthur Schopenhauer;Jean-Paul Sartre;;A;Which philosopher said that 'God is dead'?;Friedrich Nietzsche;Arthur Schopenhauer;Jean-Paul Sartre;;
Jak nazywa się filozofia skupiona na istnieniu człowieka i jego wolności?;Egzystencjalizm;Stoicyzm;Empiryzm;Pozytywizm;A;Which philosophy focuses on human existence and freedom?;Existentialism;Stoicism;Empiricism;Positivism;
Kto był założycielem szkoły stoickiej?;Zenon z Kition;Epikur;Demokryt;;A;Who founded the Stoic school?;Zeno of Citium;Epicurus;Democritus;;
Jak nazywa się pogląd, że rzeczywistość jest wytworem umysłu?;Materializm;Idealizm;Empiryzm;;B;What is the view that reality is created by the mind called?;Materialism;Idealism;Empiricism;;
Który filozof był uczniem Sokratesa?;Platon;Epikur;Heraklit;;A;Which philosopher was a student of Socrates?;Plato;Epicurus;Heraclitus;;
Jak nazywa się przekonanie, że nie można poznać prawdy absolutnej?;Relatywizm;Sceptycyzm;Dogmatyzm;;B;What is the belief that absolute truth cannot be known called?;Relativism;Skepticism;Dogmatism;;
Jak brzmi główna zasada etyki Immanuela Kanta?;Imperatyw kategoryczny;Zasada użyteczności;Zasada przyjemności;;A;What is the main principle of Kant's ethics?;Categorical imperative;Principle of utility;Pleasure principle;;
Kto uważał, że wszystko składa się z atomów?;Demokryt;Heraklit;Arystoteles;Platon;A;Who believed that everything consists of atoms?;Democritus;Heraclitus;Aristotle;Plato;
Jak nazywa się filozofia głosząca, że celem życia jest przyjemność?;Hedonizm;Stoicyzm;Egzystencjalizm;;A;Which philosophy claims that the goal of life is pleasure?;Hedonism;Stoicism;Existentialism;;
Który filozof był przedstawicielem racjonalizmu?;Francis Bacon;René Descartes;David Hume;John Locke;B;Which philosopher was a representative of rationalism?;Francis Bacon;René Descartes;David Hume;John Locke;
